method,fillPerc,confidence,leaves,treeSize,performanceValidation,performanceTraining
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.2250 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.225.out
moda,0.00,0.2250,654,1307,58.6262,84.4995
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.2500 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.250.out
moda,0.00,0.2500,668,1335,58.6262,84.8046
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.2750 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.275.out
moda,0.00,0.2750,682,1363,58.5463,85.0143
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.3000 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.300.out
moda,0.00,0.3000,691,1381,58.4665,85.1859
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.3250 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.325.out
moda,0.00,0.3250,709,1417,58.3067,85.6244
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.3500 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.350.out
moda,0.00,0.3500,714,1427,58.3067,85.7197
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.3750 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.375.out
moda,0.00,0.3750,717,1433,58.3866,85.7769
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.4000 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.400.out
moda,0.00,0.4000,735,1469,57.9073,86.1392
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.4250 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.425.out
moda,0.00,0.4250,736,1471,57.9073,86.1582
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.4500 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.450.out
moda,0.00,0.4500,738,1475,57.9872,86.1964
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.4750 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.475.out
moda,0.00,0.4750,741,1481,57.9073,86.2345
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_0.00_moda.arff -T ../data/validation2.csv.arff -C 0.5000 > ../output/exc2//tree_faltantes_0.00_moda_conf_0.500.out
moda,0.00,0.5000,747,1493,57.7476,86.3298
# ./ind_faltantes.py ../data/training2.csv.arff 2.50  moda > ../output/exc2//dataset_faltantes_2.50_moda.arff
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.0010 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.001.out
moda,2.50,0.0010,7,13,51.278,52.469
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.0250 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.025.out
moda,2.50,0.0250,297,593,54.393,72.3356
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.0500 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.050.out
moda,2.50,0.0500,435,869,55.5911,78.6845
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.0750 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.075.out
moda,2.50,0.0750,466,931,55.7508,79.6949
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.1000 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.100.out
moda,2.50,0.1000,534,1067,56.0703,82.04
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.1250 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.125.out
moda,2.50,0.1250,554,1107,56.23,82.5929
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.1500 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.150.out
moda,2.50,0.1500,577,1153,56.7891,83.2793
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.1750 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.175.out
moda,2.50,0.1750,632,1263,55.6709,84.6902
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.2000 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.200.out
moda,2.50,0.2000,679,1357,56.23,85.7579
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.2250 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.225.out
moda,2.50,0.2250,696,1391,56.1502,86.082
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.2500 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.250.out
moda,2.50,0.2500,709,1417,56.0703,86.3298
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.2750 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.275.out
moda,2.50,0.2750,724,1447,56.3898,86.5777
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.3000 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.300.out
moda,2.50,0.3000,735,1469,56.3099,86.7493
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.3250 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.325.out
moda,2.50,0.3250,747,1493,56.1502,87.0162
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.3500 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.350.out
moda,2.50,0.3500,752,1503,56.1502,87.0925
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.3750 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.375.out
moda,2.50,0.3750,752,1503,56.1502,87.0925
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.4000 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.400.out
moda,2.50,0.4000,767,1533,55.6709,87.3975
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.4250 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.425.out
moda,2.50,0.4250,768,1535,55.6709,87.4166
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.4500 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.450.out
moda,2.50,0.4500,769,1537,55.7508,87.4357
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.4750 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.475.out
moda,2.50,0.4750,776,1551,55.6709,87.531
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_2.50_moda.arff -T ../data/validation2.csv.arff -C 0.5000 > ../output/exc2//tree_faltantes_2.50_moda_conf_0.500.out
moda,2.50,0.5000,782,1563,55.5112,87.6072
# ./ind_faltantes.py ../data/training2.csv.arff 5.00  moda > ../output/exc2//dataset_faltantes_5.00_moda.arff
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.0010 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.001.out
moda,5.00,0.0010,7,13,51.278,52.45
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.0250 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.025.out
moda,5.00,0.0250,280,559,55.3514,71.7636
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.0500 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.050.out
moda,5.00,0.0500,425,849,56.6294,78.3413
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.0750 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.075.out
moda,5.00,0.0750,487,973,57.2684,80.5148
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.1000 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.100.out
moda,5.00,0.1000,545,1089,57.0288,82.4976
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.1250 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.125.out
moda,5.00,0.1250,561,1121,57.508,82.9361
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.1500 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.150.out
moda,5.00,0.1500,586,1171,57.7476,83.5844
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.1750 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.175.out
moda,5.00,0.1750,605,1209,57.7476,84.0038
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.2000 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.200.out
moda,5.00,0.2000,651,1301,57.508,85.0334
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.2250 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.225.out
moda,5.00,0.2250,696,1391,57.8275,86.0439
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.2500 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.250.out
moda,5.00,0.2500,711,1421,57.8275,86.3298
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.2750 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.275.out
moda,5.00,0.2750,719,1437,57.8275,86.4633
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.3000 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.300.out
moda,5.00,0.3000,729,1457,57.8275,86.673
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.3250 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.325.out
moda,5.00,0.3250,740,1479,57.7476,86.9018
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.3500 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.350.out
moda,5.00,0.3500,746,1491,57.7476,87.0353
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.3750 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.375.out
moda,5.00,0.3750,746,1491,57.7476,87.0353
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.4000 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.400.out
moda,5.00,0.4000,760,1519,57.3482,87.3403
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.4250 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.425.out
moda,5.00,0.4250,762,1523,57.4281,87.3594
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.4500 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.450.out
moda,5.00,0.4500,765,1529,57.7476,87.3785
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.4750 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.475.out
moda,5.00,0.4750,768,1535,57.6677,87.4166
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_5.00_moda.arff -T ../data/validation2.csv.arff -C 0.5000 > ../output/exc2//tree_faltantes_5.00_moda_conf_0.500.out
moda,5.00,0.5000,778,1555,57.4281,87.5119
# ./ind_faltantes.py ../data/training2.csv.arff 7.50  moda > ../output/exc2//dataset_faltantes_7.50_moda.arff
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.0010 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.001.out
moda,7.50,0.0010,7,13,51.278,52.469
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.0250 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.025.out
moda,7.50,0.0250,283,565,56.1502,71.7827
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.0500 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.050.out
moda,7.50,0.0500,413,825,57.508,77.5024
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.0750 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.075.out
moda,7.50,0.0750,462,923,57.508,79.2946
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.1000 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.100.out
moda,7.50,0.1000,564,1127,57.6677,82.612
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.1250 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.125.out
moda,7.50,0.1250,578,1155,57.508,83.0505
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.1500 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.150.out
moda,7.50,0.1500,595,1189,57.5879,83.5272
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.1750 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.175.out
moda,7.50,0.1750,643,1285,57.4281,84.8808
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.2000 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.200.out
moda,7.50,0.2000,664,1327,57.7476,85.4147
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.2250 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.225.out
moda,7.50,0.2250,685,1369,57.6677,85.8151
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.2500 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.250.out
moda,7.50,0.2500,693,1385,57.6677,85.9485
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.2750 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.275.out
moda,7.50,0.2750,718,1435,57.8275,86.2917
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.3000 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.300.out
moda,7.50,0.3000,726,1451,57.9073,86.4633
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.3250 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.325.out
moda,7.50,0.3250,735,1469,57.9073,86.6158
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.3500 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.350.out
moda,7.50,0.3500,739,1477,57.8275,86.6921
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.3750 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.375.out
moda,7.50,0.3750,745,1489,57.6677,86.8065
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.4000 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.400.out
moda,7.50,0.4000,754,1507,57.2684,86.9399
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.4250 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.425.out
moda,7.50,0.4250,757,1513,57.4281,86.9781
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.4500 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.450.out
moda,7.50,0.4500,763,1525,57.508,87.0543
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.4750 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.475.out
moda,7.50,0.4750,768,1535,57.5879,87.1306
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_7.50_moda.arff -T ../data/validation2.csv.arff -C 0.5000 > ../output/exc2//tree_faltantes_7.50_moda_conf_0.500.out
moda,7.50,0.5000,773,1545,57.5879,87.1878
# ./ind_faltantes.py ../data/training2.csv.arff 10.00  moda > ../output/exc2//dataset_faltantes_10.00_moda.arff
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_10.00_moda.arff -T ../data/validation2.csv.arff -C 0.0010 > ../output/exc2//tree_faltantes_10.00_moda_conf_0.001.out
moda,10.00,0.0010,7,13,51.278,52.4881
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_10.00_moda.arff -T ../data/validation2.csv.arff -C 0.0250 > ../output/exc2//tree_faltantes_10.00_moda_conf_0.025.out
moda,10.00,0.0250,278,555,55.4313,71.592
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_10.00_moda.arff -T ../data/validation2.csv.arff -C 0.0500 > ../output/exc2//tree_faltantes_10.00_moda_conf_0.050.out
moda,10.00,0.0500,426,851,55.9105,78.1125
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_10.00_moda.arff -T ../data/validation2.csv.arff -C 0.0750 > ../output/exc2//tree_faltantes_10.00_moda_conf_0.075.out
moda,10.00,0.0750,534,1067,56.7093,82.0782
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_10.00_moda.arff -T ../data/validation2.csv.arff -C 0.1000 > ../output/exc2//tree_faltantes_10.00_moda_conf_0.100.out
moda,10.00,0.1000,549,1097,57.1086,82.5548
# java -Xmx256m -classpath /usr/share/java/weka.jar weka.classifiers.trees.J48  -t ../output/exc2//dataset_faltantes_10.00_moda.arff -T ../data/validation2.csv.arff -C 0.1250 > ../output/exc2//tree_faltantes_10.00_moda_conf_0.125.out
moda,10.00,0.1250,575,1149,57.0288,83.3365
